,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,district
1488,1000006267,Atlas Bangkok Hotel,"131/5-7 Sukhumvit 7/1, Sukhumvit Road, Wattana, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.6,Nana BTS Station && 30 m ; Jackie's Tailor && 90 m ; New Armani && 100 m ; Nick's International Boutique House && 100 m ; Jhasper Fashion Custom Tailors && 100 m ; Sarto di Moda && 100 m ; Embassy of Sweden && 110 m ; Phu Fa && 120 m ; Siam Emporium Bespoke Tailor (Nana) && 120 m ; Louis Collections && 130 m,Terminal 21 Shopping Mall && 640 m ; Central World && 1.84 km ; Jim Thompson && 3.08 km ; Yaowarat Road && 4.95 km ; Wat Saket && 5.48 km ; Khao San Road && 6.54 km ; Wat Pho Temple && 6.81 km ; Wat Phra Kaew && 6.94 km ; Asiatique - The Riverfront && 6.96 km ; Grand Palace && 6.99 km,Sukhumvit
1489,1000006268,Panida Suite,"443 Rajavithi Road, Bangphlat, Bangkok Riverside, Bangkok, Thailand, 10700",2.5,7.5,Krung Thon Bridge (Sung Hi) Pier && 130 m ; Wat Thepnahree Pier && 170 m ; Nakornluang Polytechnic College && 340 m ; Krungthon Bridge && 790 m ; Saint Francis Xavier Convent School && 850 m ; Thewphaingarm School && 850 m ; Sukhothai Palace && 880 m ; Vasukri Pier && 900 m ; Payap Pier && 910 m ; Thewet Market && 970 m,Khao San Road && 2.75 km ; Wat Saket && 3.31 km ; Grand Palace && 3.77 km ; Wat Phra Kaew && 3.82 km ; Wat Pho Temple && 4.17 km ; Jim Thompson && 4.79 km ; Yaowarat Road && 4.83 km ; Central World && 5.85 km ; Terminal 21 Shopping Mall && 8.18 km ; Asiatique - The Riverfront && 8.81 km,Bangkok Riverside
1490,1000006270,The Connex Asoke,"6/1 Ratchadapisek road, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",2.5,9.2,Black Swan && 70 m ; Raja's International Custom Tailors && 70 m ; Andrew & Walker Custom Clothier && 100 m ; Sukumvit Plaza Korean Town && 100 m ; Asok BTS Station && 110 m ; Mandalay Magic Tailors && 130 m ; Terminal 21 Shopping Mall && 170 m ; Tanika Tailor && 180 m ; British Custom Tailors && 180 m ; Bangkok Bazaar && 180 m,Terminal 21 Shopping Mall && 170 m ; Central World && 2.57 km ; Jim Thompson && 3.8 km ; Yaowarat Road && 5.55 km ; Wat Saket && 6.18 km ; Asiatique - The Riverfront && 7.16 km ; Khao San Road && 7.25 km ; Wat Pho Temple && 7.44 km ; Wat Phra Kaew && 7.6 km ; Grand Palace && 7.65 km,Sukhumvit
1491,1000006271,Silom Studios,"5/20 Saladaeng Road, Silom, Bangkok, Thailand, 10500",2.5,9.3,Vino di Zanotti && 130 m ; July Tailor && 140 m ; U Chu Liang Building && 160 m ; Abdulhrahim Building && 160 m ; Orchid Press && 230 m ; Silom Business Area && 260 m ; Silom Complex && 260 m ; St Andrews International School Sathorn Campus && 280 m ; Bank of Tokyo-Mitsubishi && 290 m ; King Rama 6 Monument && 300 m,Central World && 2.06 km ; Jim Thompson && 2.6 km ; Terminal 21 Shopping Mall && 2.76 km ; Yaowarat Road && 3.3 km ; Wat Saket && 4.41 km ; Asiatique - The Riverfront && 4.48 km ; Wat Pho Temple && 5.23 km ; Khao San Road && 5.47 km ; Wat Phra Kaew && 5.48 km ; Grand Palace && 5.54 km,Silom
1492,1000006272,The Bangkok Venice Suite,"1054/10-13 New Petchburi Road (Chidlom Road Junction), Makkasan, Rachtevee, Bangkok, Wireless, Bangkok, Thailand, 10400",2.5,8.8,Chit Lom Bridge Pier && 20 m ; Jetanin Hospital && 190 m ; Ravis Tailor && 200 m ; Amari Tailor && 210 m ; Lingam Shrine (Saan Jao Mae Thap Thim) && 220 m ; Palladium Square Shopping Mall && 250 m ; Yoga Elements Studio && 260 m ; Papaya Furniture && 270 m ; Royal Asia Boutique && 290 m ; Pratunam Pier && 320 m,Central World && 650 m ; Jim Thompson && 1.74 km ; Terminal 21 Shopping Mall && 2.14 km ; Yaowarat Road && 3.87 km ; Wat Saket && 4.12 km ; Khao San Road && 5.15 km ; Wat Pho Temple && 5.59 km ; Wat Phra Kaew && 5.67 km ; Grand Palace && 5.72 km ; Asiatique - The Riverfront && 6.68 km,Wireless
1493,1000006273,@1150 Villa,"206 Soi. Chan43 (the building is opposite Soi.Chan 43 Yak 41),Bangklo, Bangkorlam, Sathorn, Bangkok, Thailand, 10120",2.5,6.0,Central Plaza Rama III && 1.15 km ; Tentacles && 1.21 km ; The UP Rama 3 && 1.48 km ; Vishnu Temple && 1.5 km ; Wat Phaeng && 1.5 km ; Wat Ratcha Khruet Worawiharn && 1.5 km ; Wat Nakprok && 1.5 km ; Wat Nang Chi && 1.5 km ; Wat Apsonsawan && 1.5 km ; Wat Khunchan && 1.5 km,Asiatique - The Riverfront && 2.61 km ; Yaowarat Road && 4.95 km ; Central World && 5.34 km ; Jim Thompson && 5.55 km ; Terminal 21 Shopping Mall && 5.56 km ; Wat Pho Temple && 6.42 km ; Wat Saket && 6.46 km ; Wat Phra Kaew && 6.79 km ; Grand Palace && 6.87 km ; Khao San Road && 7.31 km,Sathorn
1494,1000006274,Primrose Place,"20/3 Taweewattana 55, Thonburi, Bangkok, Thailand, 10170",2.0,9.0,Phutthamonthon && 1.94 km ; Bangkok Thonburi University && 2.55 km ; Bangkok Thonburi College && 2.65 km ; Sanam Luang 2 Market && 5.14 km ; Thawee Wanarom Park && 5.36 km ; Khlong Lat Mayom Floating Market && 9.32 km ; Tha Tien Market && 9.35 km ; Big C Extra Phetkasem 2 && 9.49 km ; Automotive Technology School && 10.24 km ; Big C Phetkasem && 10.5 km,Grand Palace && 17.53 km ; Wat Phra Kaew && 17.59 km ; Wat Pho Temple && 17.77 km ; Khao San Road && 18.01 km ; Wat Saket && 19.04 km ; Yaowarat Road && 19.71 km ; Asiatique - The Riverfront && 20.58 km ; Jim Thompson && 21.44 km ; Central World && 22.67 km ; Terminal 21 Shopping Mall && 25.1 km,Thonburi
1495,1000006275,V20 Boutique Hotel,"Soi Vibhavadi Rangsit 20, Lane 3-4-1, Ratchadaphisek, Bangkok, Thailand, 10900",2.5,8.2,TST Tower && 660 m ; House of Dhamma && 830 m ; Lat Phrao MRT Station && 1 km ; Vespa Market && 1.03 km ; Ratchada Market && 1.03 km ; Union Mall && 1.04 km ; JJ Green && 1.12 km ; Ratchadaphisek MRT Station && 1.15 km ; Mo Chit BTS Station && 1.2 km ; Chatuchak Park MRT Station && 1.3 km,Central World && 7.12 km ; Jim Thompson && 7.34 km ; Terminal 21 Shopping Mall && 7.51 km ; Wat Saket && 8.46 km ; Khao San Road && 8.87 km ; Yaowarat Road && 9.31 km ; Grand Palace && 9.95 km ; Wat Phra Kaew && 9.95 km ; Wat Pho Temple && 10.13 km ; Asiatique - The Riverfront && 13.04 km,Ratchadaphisek
1496,1000006276,Baan Chantra,"120/1, Samsen Road (between Samsen Soi 6 and Soi 8), Bangkhunprom, Pranakorn, Khaosan, Bangkok, Thailand",2.0,8.6,Velothailand && 240 m ; Max fashion && 250 m ; Jack Armani Suit && 250 m ; Ad Here the 13th && 250 m ; Wat Indra Viharn && 280 m ; Banglamphu && 280 m ; Aman's Fashion Tailor && 350 m ; Ram Fashion Bangkok && 370 m ; Wat Intharawihan && 380 m ; Rama 8 Bridge Pier && 390 m,Khao San Road && 760 m ; Wat Saket && 1.43 km ; Grand Palace && 1.86 km ; Wat Phra Kaew && 1.9 km ; Wat Pho Temple && 2.22 km ; Yaowarat Road && 2.91 km ; Jim Thompson && 3.52 km ; Central World && 4.73 km ; Asiatique - The Riverfront && 6.81 km ; Terminal 21 Shopping Mall && 7.2 km,Khaosan
1497,1000006277,Marwin Space,"2/10-2/11-2/12 Petchburi Soi 19, Petchburi Rd.Phaya thai , Ratchathewi Bangkok Thailand 10400, Pratunam, Bangkok, Thailand, 10400",2.0,9.1,Grand Diamond Plaza && 130 m ; Pantip Plaza IT Mall && 150 m ; Newman Exclusive Tailor && 160 m ; Embassy of Indonesia && 160 m ; Lee Fashion Tailor && 160 m ; Pantip Plaza && 190 m ; Pratunam Center && 220 m ; Platinum Fashion Mall && 220 m ; Paul's Fashion && 220 m ; Indra Square && 290 m,Central World && 610 m ; Jim Thompson && 1.14 km ; Terminal 21 Shopping Mall && 2.8 km ; Yaowarat Road && 3.36 km ; Wat Saket && 3.47 km ; Khao San Road && 4.49 km ; Wat Pho Temple && 4.99 km ; Wat Phra Kaew && 5.05 km ; Grand Palace && 5.09 km ; Asiatique - The Riverfront && 6.5 km,Pratunam
